rotation,score
0,0.929204 0.972222 0.952998 
5,0.781955 0.962963 0.947473 
10,0.771654 0.907407 0.894334 
15,0.897727 0.731481 0.712079 
20,0.928571 0.601852 0.590173 
25,0.764706 0.361111  0.35212 
30,0.714286 0.231481 0.225571 
35, 0.73913 0.157407 0.144738 
40, 0.833333 0.0925926 0.0845679 
45, 0.777778 0.0648148 0.0587889 
50,     0.75 0.0555556 0.0490741 
55,  0.333333 0.00925926 0.00308642 
60,0 0 0 
65,       0.4  0.0185185 0.00740741 
70,0 0 0 
75,0 0 0 
80,0 0 0 
85,  0.0212766  0.00925926 0.000420875 
90,0 0 0 
95,0 0 0 
100,0 0 0 
105,0 0 0 
110,0 0 0 
115,0 0 0 
120,0 0 0 
125,0 0 0 
130,0 0 0 
135,1 0 0 
140,1 0 0 
145,1 0 0 
150,0 0 0 
155,1 0 0 
160,1 0 0 
165,0 0 0 
170,0 0 0 
175,0 0 0 
180,0 0 0 
185,0 0 0 
190,0 0 0 
195,0 0 0 
200,0 0 0 
205,0 0 0 
210,0 0 0 
215,0 0 0 
220,0 0 0 
225,0 0 0 
230,0 0 0 
235,0 0 0 
240,0 0 0 
245,0 0 0 
250,0 0 0 
255,0 0 0 
260,0 0 0 
265,0 0 0 
270,0 0 0 
275,0 0 0 
280,0 0 0 
285,0 0 0 
290,0 0 0 
295,0 0 0 
300,  0.142857 0.00925926 0.00132275 
305,  0.111111 0.00925926 0.00185185 
310,      0.5 0.0462963 0.0231481 
315,      0.5 0.0555556 0.0386243 
320, 0.615385 0.0740741 0.0505513 
325,0.777778  0.12963 0.100823 
330,0.882353 0.277778 0.245098 
335, 0.90566 0.444444 0.406146 
340,0.927536 0.592593 0.561298 
345,0.895349 0.712963 0.673989 
350,0.849558 0.888889  0.86197 
355,0.755556 0.944444 0.925791 
